Timestep: 0, Current state: 5
[0.9, 0.1]
[0.9, 0.1]
Timestep: 1, Current state: 2
[0.7537728196890462, 0.24622718031095378]
[0.9, 0.1]
Timestep: 2, Current state: 2
[0.7011654485651807, 0.29883455143481924]
[0.7928389664459952, 0.2071610335540048]
Timestep: 3, Current state: 0
[0.9090909090909091, 0.09090909090909091]
[0.9, 0.1]
Timestep: 4, Current state: 5
[0.7537728196890462, 0.24622718031095378]
[0.418830812194608, 0.581169187805392]
Timestep: 5, Current state: 2
[0.7375370342781294, 0.26246296572187056]
[0.5751325323060374, 0.42486746769396244]
Timestep: 6, Current state: 0
[0.7588805306846513, 0.2411194693153486]
[0.418830812194608, 0.581169187805392]
Timestep: 7, Current state: 2
[0.7548456242719086, 0.2451543757280913]
[0.418830812194608, 0.581169187805392]
Timestep: 8, Current state: 2
[0.7681809911963579, 0.2318190088036421]
[0.418830812194608, 0.581169187805392]
Timestep: 9, Current state: 2
[0.7560499153678241, 0.2439500846321759]
[0.418830812194608, 0.581169187805392]
Timestep: 10, Current state: 2
[0.8193563145280336, 0.18064368547196638]
[0.9, 0.1]
Timestep: 11, Current state: 5
[0.8193563145280336, 0.18064368547196638]
[0.6636006154876569, 0.336399384512343]
Timestep: 12, Current state: 5
[0.5438943283619607, 0.45610567163803933]
[0.418830812194608, 0.581169187805392]
Timestep: 13, Current state: 2
[0.6933482720551619, 0.3066517279448381]
[0.6636006154876569, 0.336399384512343]
Timestep: 14, Current state: 5
[0.4795290393020203, 0.5204709606979796]
[0.7781790322612268, 0.2218209677387732]
Timestep: 15, Current state: 4
[0.7407082875698778, 0.25929171243012217]
[0.6636006154876569, 0.336399384512343]
Timestep: 16, Current state: 5
[0.5438943283619607, 0.45610567163803933]
[0.2713977174516241, 0.728602282548376]
Timestep: 17, Current state: 2
[0.4795290393020203, 0.5204709606979796]
[0.7496052028319911, 0.25039479716800894]
Timestep: 18, Current state: 4
[0.4795290393020203, 0.5204709606979796]
[0.7496052028319911, 0.25039479716800894]
Timestep: 19, Current state: 4
[0.7501542468554857, 0.2498457531445142]
[0.6636006154876569, 0.336399384512343]
Timestep: 20, Current state: 5
[0.6290130316832044, 0.37098696831679545]
[0.3720964521390301, 0.62790354786097]
Timestep: 21, Current state: 2
[0.6859581565475548, 0.3140418434524452]
[0.3720964521390301, 0.62790354786097]
Timestep: 22, Current state: 2
[0.42114544871373083, 0.5788545512862691]
[0.7317705202274537, 0.2682294797725463]
Timestep: 23, Current state: 4
[0.6981231020425162, 0.3018768979574839]
[0.569597694936153, 0.4304023050638471]
Timestep: 24, Current state: 2
[0.7707031127718025, 0.22929688722819755]
[0.6636006154876569, 0.336399384512343]
Timestep: 25, Current state: 5
[0.6981231020425162, 0.3018768979574839]
[0.4507084015757287, 0.5492915984242712]
Timestep: 26, Current state: 2
[0.42114544871373083, 0.5788545512862691]
[0.6932186650998238, 0.3067813349001762]
Timestep: 27, Current state: 4
[0.7449264731151569, 0.255073526884843]
[0.5447492216699553, 0.4552507783300447]
Timestep: 28, Current state: 2
[0.42114544871373083, 0.5788545512862691]
[0.7496421605436359, 0.2503578394563641]
Timestep: 29, Current state: 4
[0.42114544871373083, 0.5788545512862691]
[0.7496421605436359, 0.2503578394563641]
Timestep: 30, Current state: 4
[0.7044451541548712, 0.29555484584512887]
[0.6636006154876569, 0.336399384512343]
Timestep: 31, Current state: 5
[0.5863626132586901, 0.4136373867413099]
[0.28752538978912184, 0.7124746102108781]
Timestep: 32, Current state: 0
